@notacobblepot,modest st next remove hijab amp amir khan next kanye sadly
@johnevans,froch ask sport presenter tv would face amir khan next
@martinslewis,biggest chance far life meet arrange twitter duncan bannatyne amp demo show boxer amir khan new box device call sparbar help invent plan u could make history amp stop pensioners rip incare home
@raniramya,whatever achieve thats bcoz hardworksthats bcoz amir khan nd give india still except hate nd nothng else
@blessedone,acha itny zaida amir khans hn confusion ho gyi thi
@dgispr,control also threaten journalists violence abduction worse amir mateen fall line abandon hamid mir shoot pakistan sham democracy amp imran khan select pm
@genqamarjbis,real boss
@mrsiddharth,true point amp bcoz lack sanatan dharma
@aaziz,ispr control also threaten journalists violence abduction worse amir mateen fall line abandon hamid mir shoot pakistan sham democracy imran khan select pm
@madmonk,deepikashahrukh khan amir khan also dont national award kangana greater term act logic support cause problem call fellow colleagues needy b grade actress kangana always greedy needy
@rahulverma,irfan khan internationally recognize actor india follow amir khan eastern asia
@imrankhanpti,thank phone sims block pay tax pay tax old phone unemployed due corona
@theskandar,khans r none meet israeli pm visit india line meet sadiq khan speak india salman khan raise question hang terrorist yakub menon amir khan wife could defame bjp india
@diedur,praise fev actor doesnt mean degrade amir khan continue cr film tare zameen par prabhas everyone good something
@dhairyagehani,amir khan play man mock hindu rituals rituals
@adtad,amir khan ans godrej top sponsor thewire
@amirmateen,wohoo today amir mateen literally shit mouth twitter without evidence blame army agencies give mati habit get fued every
@akashpawarhr,bro hrithik glorify akbar else u want talk also hte khan call amir good actor
@mahipalrathore,also feature amir khans show satyamev jayate issue police reform
@ssehbai,sir people post imran khani never saw jurnos like amir maten amp others like ever raise voice itwhy hypocrisy
@akshaysstorm,still
@getaloadofmee,true
@vidhushak,amir khan recognise fact copy christopher nolan movie momento
@ofgrievance,wow go last fav hindi movie idiots slight respect leave mr amir khanhow many bubble burst already lose fav actors ssr irfan khan
@zoexfr,sad reality media control way people think obvious people still cant see surprise double standards negative towards muslims ignore rest population let ignore metre rule
@minirazdan,think amir khan raju himani belong bollytard mafia give dam others answer people stop watch movies
@aadii,ugg amir khan mahabharata dont match
@sadhavi,covid game srk sure salman go due ssr ppl know big hypocrite amir khan
@ssandeeip,youve watch tare jameen par amir khan movie youd know number fly blackboard
@gappistanradio,cb jihali apologist self hypnoyised sicularist highest order
@yogendrayadav,chal phoot
@rajsri,award define everything amir khan would attend accept
@mmshah,galat news azim premji ne crore diya aur salman amir khan ye khud gareebo bate h pm care nhi diye h
@sunona,bollywood chaly gi usme recently watch secret superstar amir khan ki hai really nice
@dmishra,daystoakshaysbday
@sulachi,really amir khan say didnt know
@mazharabbasgeo,imran khan order know outcome concern notice two years n people demand must go back see outcomes notice order nothing suffer people
@akchaturvedi,jiski jo credit h usko utni hi di jati h phogat sisters excel wrestle people wud know amir khan brilliant dangal people know movie credit jiska jitna h utna dene ki aadat dalo ni usko dadagiri kehte h
@nitish,ok mean dont like everyone time amir khan call srk dog something
@khurramshah,ok answer one thing try come live ya
@drnikhilj,pattern amir khan take movies want give impression whole project create respect work sometimes feel like strong ego issue
@snshriraj,sir amir khan production house make dangal movie
@sonusood,sir covid survivor diagnose two cervical glands neck know corona positive lose job
@amirqkhan,check tecno store near
@krdave,fib amir khan purchase film right toto
@soubhagyabal,bhai kal paida hua tha kya jo tujhe pta nahi jra google krke comment kia kro matter turn ugly aur last mai amir khan vidhu vinod chopra come settle matterchetan bhagat wasnt give credit u dont know
@lucifer,think go say amir khan always agenda minus altaf hussain give power master
